"sexe","age","revenu","region","conjoint","anneeclient","semainedernier","montantdernier","montantunan","achatunan","yachat","ymontant","train","test"
1,45,1,3,0,10,13,10,77,12,1,70,1,0
1,34,1,4,0,2.7,3,2,41,10,0,NA,1,0
0,36,2,2,0,2,4,5,25,10,0,NA,1,0
0,30,1,3,0,10.6,2,6,41,17,0,NA,1,0
1,25,1,5,0,2.8,17,4,139,15,1,51,1,0
0,41,3,3,1,3.2,30,9,53,10,1,82,1,0
1,34,1,3,0,3.2,9,5,81,12,0,NA,1,0
0,31,1,1,0,6.5,2,3,67,15,1,57,1,0
0,35,2,1,0,10.7,16,3,98,20,0,NA,1,0
0,27,1,1,0,3,7,4,65,15,0,NA,1,0
0,25,2,1,0,2.6,8,4,82,17,0,NA,1,0
1,30,3,1,1,4.6,15,3,19,5,0,NA,1,0
1,33,1,5,0,3.5,2,20,92,25,1,25,1,0
1,41,1,2,1,5.9,14,2,71,10,0,NA,1,0
1,32,1,2,0,3,16,9,195,20,1,53,1,0
0,28,2,3,0,6,14,7,38,12,0,NA,1,0
0,27,1,3,0,1.8,17,6,37,5,1,56,1,0
0,32,3,4,0,9.3,22,4,87,22,0,NA,1,0
1,44,2,5,1,7.4,11,3,28,10,0,NA,1,0
0,36,1,2,0,10.5,5,9,46,7,0,NA,1,0
0,44,3,4,1,9.6,12,3,13,5,0,NA,1,0
0,44,2,1,1,4.4,8,6,59,20,0,NA,1,0
0,26,2,1,0,1.2,4,6,42,20,0,NA,1,0
1,45,3,5,1,9.8,10,6,78,20,0,NA,1,0
0,31,2,3,1,3.9,12,2,62,12,0,NA,1,0
0,23,2,1,0,2.4,40,8,28,5,1,68,1,0
1,38,1,4,0,2.6,1,7,50,17,1,47,1,0
0,30,1,3,0,7.2,9,2,42,15,0,NA,1,0
0,33,2,1,0,3.6,7,4,23,10,0,NA,1,0
1,61,3,3,1,1.9,22,8,51,15,0,NA,1,0
1,34,1,1,0,6.3,25,2,33,15,0,NA,1,0
0,36,1,1,0,5.6,5,4,44,22,0,NA,1,0
1,27,1,4,1,3.4,13,3,49,10,0,NA,1,0
1,27,3,4,1,7.1,1,6,33,12,0,NA,1,0
1,39,1,2,1,1.4,4,3,49,22,0,NA,1,0
1,29,1,5,0,7.3,5,2,27,12,1,67,1,0
0,40,1,1,0,4.9,12,5,91,20,0,NA,1,0
0,35,2,1,0,10.6,1,3,33,15,0,NA,1,0
0,30,1,4,0,8.1,7,3,51,12,0,NA,1,0
1,36,1,3,0,5,47,4,14,2,1,68,1,0
0,42,2,1,0,3.7,17,3,21,5,0,NA,1,0
1,49,1,5,1,9.1,20,3,65,12,0,NA,1,0
0,28,1,1,0,9.8,4,2,87,17,0,NA,1,0
0,41,2,2,1,1.1,4,7,46,10,0,NA,1,0
1,30,3,4,1,7.2,7,4,90,15,0,NA,1,0
1,27,1,2,0,5.6,52,2,35,5,0,NA,1,0
1,33,1,3,0,8.2,1,2,26,15,0,NA,1,0
1,57,1,5,0,10.8,14,2,119,12,0,NA,1,0
0,27,3,4,0,8.5,8,4,131,15,0,NA,1,0
1,37,1,3,0,1.2,23,2,50,12,1,56,1,0
1,33,2,1,0,1.7,18,4,36,12,1,61,1,0
1,29,2,5,0,2.3,8,5,103,22,0,NA,1,0
1,43,2,5,0,7.3,10,5,91,17,0,NA,1,0
0,25,1,4,0,5.6,9,2,56,15,1,63,1,0
1,31,3,4,1,6.5,1,3,151,17,0,NA,1,0
1,44,1,5,0,3.2,14,2,31,15,0,NA,1,0
1,52,1,3,0,7.5,3,6,132,17,0,NA,1,0
0,32,2,4,0,8.9,28,7,37,7,1,84,1,0
0,36,1,3,0,9.3,18,22,115,10,1,49,1,0
0,27,2,2,0,8.6,15,6,52,12,1,76,1,0
0,22,2,3,0,2.1,15,2,36,10,0,NA,1,0
1,50,1,3,0,3.3,9,6,57,7,0,NA,1,0
1,58,1,4,0,10.6,3,3,57,28,0,NA,1,0
0,49,1,1,0,9.5,6,2,29,7,0,NA,1,0
1,39,1,5,0,1.8,17,2,46,12,1,54,1,0
0,41,2,2,1,4.8,34,6,36,7,1,82,1,0
1,40,1,4,0,3.4,16,2,20,7,0,NA,1,0
0,43,3,2,1,5.3,25,7,89,17,0,NA,1,0
1,54,1,4,1,9,9,4,33,12,0,NA,1,0
1,52,3,2,1,2.9,1,5,83,15,0,NA,1,0
0,48,3,2,1,8,6,2,84,15,0,NA,1,0
0,30,1,3,0,10.1,8,3,32,17,0,NA,1,0
0,56,2,1,1,8,1,4,184,20,0,NA,1,0
0,27,2,1,0,5.7,17,3,31,12,0,NA,1,0
1,25,1,2,0,2.4,6,4,36,5,0,NA,1,0
1,31,1,5,1,9,22,2,304,15,0,NA,1,0
0,33,3,4,1,1.3,6,3,145,28,0,NA,1,0
0,29,2,4,0,1.5,1,2,169,22,0,NA,1,0
1,37,2,1,1,7.5,8,7,171,15,0,NA,1,0
1,31,1,5,0,9.4,7,3,42,12,0,NA,1,0
0,32,1,5,0,9.8,5,3,28,12,0,NA,1,0
0,32,1,1,0,7.8,14,2,237,25,0,NA,1,0
0,41,2,1,1,3.9,44,3,24,5,0,NA,1,0
1,57,3,5,1,2.1,17,2,52,20,0,NA,1,0
0,46,3,2,1,7.1,5,4,23,5,0,NA,1,0
0,27,3,1,1,6.8,11,13,111,15,1,88,1,0
1,26,2,3,0,7.1,11,4,45,20,1,72,1,0
1,50,1,4,0,1.3,22,5,42,15,0,NA,1,0
0,40,1,2,0,2.1,11,3,47,30,0,NA,1,0
1,32,1,3,0,10.4,1,2,21,10,0,NA,1,0
0,36,2,5,0,10.1,11,5,54,15,0,NA,1,0
0,41,3,4,1,4.1,14,5,40,10,0,NA,1,0
0,35,3,2,1,5.8,7,3,40,22,0,NA,1,0
1,37,2,2,1,6.8,1,2,40,10,0,NA,1,0
1,41,3,5,1,5.1,24,2,141,15,0,NA,1,0
0,47,3,3,1,4.7,5,2,44,20,0,NA,1,0
1,30,2,3,0,9,6,2,65,15,0,NA,1,0
0,27,1,3,0,6,11,3,26,7,1,56,1,0
0,36,3,2,1,9,14,2,23,15,0,NA,1,0
1,32,1,5,1,3,4,2,34,15,1,68,1,0
0,39,2,2,0,3.6,13,2,32,17,0,NA,1,0
0,30,3,1,1,10.6,1,6,43,10,0,NA,1,0
0,28,1,1,0,7.4,21,13,111,12,1,58,1,0
0,26,3,3,1,6,3,2,38,17,0,NA,1,0
0,42,3,3,1,2.7,13,2,130,15,0,NA,1,0
0,24,2,1,1,4,13,3,177,25,0,NA,1,0
0,32,3,1,1,1.5,19,7,85,33,0,NA,1,0
1,24,1,2,0,3,2,5,17,2,0,NA,1,0
1,38,1,4,0,2.1,1,2,67,12,0,NA,1,0
0,45,2,1,0,1.7,52,4,42,7,0,NA,1,0
0,31,1,2,0,7.4,10,5,28,12,1,56,1,0
0,25,2,2,1,5.3,12,4,77,12,0,NA,1,0
0,37,3,1,1,4.9,12,4,47,10,0,NA,1,0
1,33,1,5,0,10.2,13,10,187,22,1,63,1,0
0,27,2,1,1,5.4,6,4,17,5,1,76,1,0
0,36,2,5,1,1.1,3,7,46,7,0,NA,1,0
1,26,2,3,1,7.7,19,3,37,12,0,NA,1,0
1,40,2,4,0,8.2,5,2,120,20,0,NA,1,0
1,46,1,5,0,5.6,11,3,42,12,0,NA,1,0
0,35,3,1,0,6,8,2,8,2,0,NA,1,0
0,33,3,1,1,8.5,12,5,30,12,0,NA,1,0
0,40,3,1,1,1.7,3,3,30,10,0,NA,1,0
0,36,1,3,0,5.6,1,7,74,12,0,NA,1,0
0,33,3,3,1,8.4,17,2,21,5,1,85,1,0
1,29,1,5,0,5.9,6,3,48,12,1,60,1,0
0,22,2,2,0,2.2,17,6,72,22,0,NA,1,0
1,45,2,3,1,5.2,19,4,95,15,0,NA,1,0
1,22,2,1,0,1.6,1,2,43,17,1,54,1,0
0,31,3,1,0,5.8,21,3,22,10,1,68,1,0
1,46,1,5,1,9.1,3,25,134,17,1,67,1,0
0,28,3,5,1,3.3,2,9,49,20,0,NA,1,0
1,34,2,2,0,5.4,13,2,86,17,0,NA,1,0
1,28,1,3,0,9.7,4,3,33,7,1,74,1,0
1,45,1,5,0,7.3,6,2,96,20,0,NA,1,0
0,23,2,1,0,3.4,16,19,97,15,1,69,1,0
1,37,2,4,0,8.7,18,3,191,20,0,NA,1,0
0,26,3,3,1,6.6,5,4,88,15,0,NA,1,0
1,25,1,5,0,2.6,9,3,190,15,1,55,1,0
0,31,2,1,1,2,1,10,63,15,0,NA,1,0
0,40,2,2,1,10.9,3,2,75,15,0,NA,1,0
0,39,2,1,1,7.2,19,3,41,15,0,NA,1,0
0,28,3,2,0,8.6,5,4,119,12,0,NA,1,0
1,31,1,5,0,8.2,26,6,33,12,1,72,1,0
0,42,2,2,1,6.5,3,16,146,17,0,NA,1,0
0,31,2,2,1,7.8,10,2,43,10,0,NA,1,0
0,31,3,4,0,6.2,10,4,32,5,1,70,1,0
1,41,1,2,0,8.3,2,11,77,12,0,NA,1,0
0,31,2,2,0,1.5,9,4,52,20,0,NA,1,0
1,28,1,5,0,2.2,6,2,73,30,1,45,1,0
1,33,1,4,0,9.2,10,3,65,7,0,NA,1,0
1,41,1,3,0,1.6,4,3,64,10,0,NA,1,0
0,37,2,1,0,9,19,3,24,15,0,NA,1,0
1,48,1,5,0,9,5,5,57,10,0,NA,1,0
1,44,2,3,0,3.7,8,2,41,7,0,NA,1,0
0,34,2,4,0,9,10,2,34,15,0,NA,1,0
0,44,3,1,1,10.2,5,6,109,20,0,NA,1,0
0,29,2,2,1,1.1,1,4,42,17,0,NA,1,0
0,45,1,1,0,1.6,34,10,56,7,1,52,1,0
0,31,3,1,1,3.3,19,2,82,22,0,NA,1,0
0,26,3,1,1,4.4,12,4,60,25,0,NA,1,0
1,46,2,3,1,8.2,6,4,39,12,0,NA,1,0
0,30,2,1,0,2.7,3,2,63,22,0,NA,1,0
1,44,1,5,0,4.6,3,3,67,15,1,56,1,0
1,32,3,4,1,1,6,3,63,20,0,NA,1,0
1,53,1,2,0,2.3,8,5,80,10,0,NA,1,0
0,36,3,1,1,3,7,6,48,17,0,NA,1,0
1,35,2,2,0,6.5,13,3,68,15,1,71,1,0
1,25,2,3,0,6.4,4,2,38,22,0,NA,1,0
1,30,1,5,1,3.9,4,3,108,15,0,NA,1,0
1,28,1,2,0,6.6,15,6,138,12,1,62,1,0
0,50,3,3,1,8.3,11,2,29,12,0,NA,1,0
1,37,1,5,0,5.4,2,4,88,22,1,54,1,0
0,41,2,4,1,5.9,17,5,36,7,0,NA,1,0
0,49,3,2,1,2.9,1,2,110,22,0,NA,1,0
0,46,1,4,0,6.4,9,2,126,15,0,NA,1,0
0,31,2,2,0,3.5,8,4,49,22,0,NA,1,0
1,28,1,5,0,5.6,10,2,18,5,0,NA,1,0
0,30,3,4,0,9.9,6,2,114,22,0,NA,1,0
0,45,2,2,1,5.9,3,5,100,22,0,NA,1,0
1,30,2,5,0,4.6,16,2,29,17,0,NA,1,0
0,30,2,1,0,4.9,16,4,72,17,0,NA,1,0
0,33,1,4,0,10.9,21,5,139,15,1,60,1,0
1,42,2,3,1,4.1,14,6,27,5,0,NA,1,0
1,55,1,5,0,8.7,2,2,48,15,0,NA,1,0
0,35,3,1,1,10.2,2,5,132,17,0,NA,1,0
0,50,3,1,1,4.4,7,2,172,17,0,NA,1,0
0,24,1,5,0,1.6,3,3,42,12,0,NA,1,0
0,45,3,1,1,6.1,26,4,38,12,0,NA,1,0
0,31,1,1,0,9.8,1,2,60,10,0,NA,1,0
1,44,2,5,1,7.3,5,3,135,20,0,NA,1,0
1,49,1,3,1,1.2,45,2,34,7,0,NA,1,0
0,35,1,2,0,10.8,21,4,192,15,0,NA,1,0
0,21,3,1,0,2.6,13,4,79,15,0,NA,1,0
1,57,3,3,1,1.8,4,5,59,20,0,NA,1,0
0,47,2,2,1,6.9,4,4,27,10,0,NA,1,0
0,47,3,2,1,7.7,1,4,36,17,0,NA,1,0
0,36,1,1,0,4.4,1,4,48,10,0,NA,1,0
1,37,2,4,0,10.8,34,2,18,10,0,NA,1,0
1,25,1,5,0,2.4,31,5,100,12,1,56,1,0
0,37,1,2,0,8.2,16,3,31,10,0,NA,1,0
0,42,2,2,1,7.2,11,3,34,17,0,NA,1,0
1,41,3,5,1,1.7,19,2,58,12,0,NA,1,0
1,40,2,1,0,7,2,4,126,10,0,NA,1,0
1,59,2,3,1,4.2,10,2,36,12,0,NA,1,0
0,25,2,2,0,2.6,2,2,28,7,1,60,1,0
0,29,2,1,0,8.5,1,7,63,12,0,NA,1,0
1,47,1,5,0,6.6,10,2,17,10,0,NA,1,0
0,28,1,1,0,9.2,18,2,28,10,0,NA,1,0
1,47,1,4,0,10,1,5,37,15,0,NA,1,0
0,34,3,3,0,6,3,3,109,22,0,NA,1,0
1,49,2,5,1,7.7,8,3,58,20,0,NA,1,0
1,35,1,4,0,10.6,11,9,77,10,1,72,1,0
0,50,1,2,0,9.5,17,2,134,25,0,NA,1,0
1,52,1,4,0,7.1,2,2,63,10,0,NA,1,0
1,26,1,1,0,2.7,3,3,128,17,1,56,1,0
0,42,3,3,1,2.9,18,3,77,15,0,NA,1,0
0,31,3,2,1,8.3,2,3,22,5,0,NA,1,0
1,31,3,3,0,4.7,6,5,41,10,1,66,1,0
0,28,3,2,1,7.6,2,10,123,15,0,NA,1,0
0,38,3,3,0,6.7,18,5,90,10,0,NA,1,0
0,29,1,2,0,6.1,9,4,70,12,0,NA,1,0
0,32,2,5,1,5.5,7,3,244,20,0,NA,1,0
1,40,2,4,0,6.1,3,2,51,7,0,NA,1,0
1,56,3,5,1,6.3,2,4,60,22,0,NA,1,0
1,27,1,5,0,1.6,1,2,37,20,0,NA,1,0
1,31,1,5,0,9,4,4,20,5,0,NA,1,0
0,29,2,1,1,3.6,13,3,33,12,0,NA,1,0
1,50,1,5,0,4.9,1,5,114,25,0,NA,1,0
1,42,3,5,1,4,1,4,150,17,0,NA,1,0
1,35,1,2,0,6.8,1,2,94,20,0,NA,1,0
0,35,1,4,0,4.1,2,8,101,15,0,NA,1,0
1,32,1,5,0,10.9,14,2,35,12,0,NA,1,0
0,21,2,3,1,1.1,2,3,23,10,0,NA,1,0
1,32,2,5,1,10.7,15,4,84,12,0,NA,1,0
1,55,1,4,0,6.5,5,5,99,12,0,NA,1,0
0,34,1,5,0,10.8,14,4,17,5,0,NA,1,0
1,29,1,4,0,10,2,4,33,15,1,73,1,0
0,28,3,1,1,9.5,6,4,103,15,0,NA,1,0
0,29,2,1,0,10.4,5,2,41,5,1,75,1,0
0,32,2,3,0,2.9,8,3,57,17,0,NA,1,0
0,45,3,1,1,5.6,9,5,33,15,0,NA,1,0
1,48,2,5,1,9.8,1,3,147,20,0,NA,1,0
0,33,3,3,1,2.9,16,2,38,22,0,NA,1,0
0,30,2,3,0,6.2,21,8,56,12,0,NA,1,0
1,48,2,2,1,5.7,5,4,37,15,0,NA,1,0
1,28,1,2,0,8,9,2,291,28,0,NA,1,0
1,47,1,5,0,1.4,2,3,36,7,0,NA,1,0
0,34,2,3,0,9.1,1,3,80,17,0,NA,1,0
0,38,3,1,1,7.4,29,5,71,15,0,NA,1,0
0,26,3,2,1,6.4,3,4,22,7,1,79,1,0
1,38,1,5,0,4,5,8,127,12,0,NA,1,0
0,34,1,1,1,1.7,15,3,18,7,0,NA,1,0
0,29,3,1,0,6.4,3,6,43,10,1,68,1,0
1,30,3,5,1,5.6,22,3,25,10,0,NA,1,0
1,40,1,5,0,5.8,5,3,21,7,0,NA,1,0
1,35,1,3,0,9.7,9,2,181,12,0,NA,1,0
0,29,2,5,1,6,15,3,17,7,0,NA,1,0
1,28,2,3,0,7.2,4,3,105,22,1,66,1,0
1,39,2,2,1,6.1,1,2,56,17,0,NA,1,0
1,33,1,5,0,6.3,5,5,128,22,0,NA,1,0
1,31,2,3,0,9.8,7,9,113,17,1,79,1,0
1,37,2,5,1,10.2,5,13,63,20,0,NA,1,0
1,38,2,1,1,2.6,4,2,26,17,0,NA,1,0
1,48,1,4,1,9.3,3,6,198,17,0,NA,1,0
0,38,3,1,1,1.2,19,11,257,20,0,NA,1,0
0,31,2,3,0,4.9,2,2,49,12,0,NA,1,0
1,36,3,1,0,6.3,3,3,60,15,0,NA,1,0
0,26,3,3,1,2.2,8,2,122,10,0,NA,1,0
0,49,3,2,1,9.1,7,4,83,20,0,NA,1,0
0,28,3,1,1,7.3,2,2,21,12,0,NA,1,0
1,36,1,4,1,5.5,7,2,31,22,0,NA,1,0
1,44,1,1,0,10.4,15,3,34,7,0,NA,1,0
0,31,2,4,1,3.1,1,2,37,12,0,NA,1,0
1,34,1,4,1,1.2,20,2,36,10,0,NA,1,0
0,31,2,1,1,2,18,8,51,15,0,NA,1,0
0,30,3,2,1,7.9,1,12,422,15,1,89,1,0
1,28,1,1,0,7,10,4,38,7,1,69,1,0
0,38,3,2,1,9.4,7,4,25,7,0,NA,1,0
1,41,2,3,0,2.3,10,5,27,10,0,NA,1,0
0,26,2,1,0,7.6,4,4,88,10,0,NA,1,0
1,40,2,4,1,2.4,4,2,13,7,0,NA,1,0
1,27,2,3,0,7.3,10,6,52,15,1,68,1,0
0,24,2,3,0,4,25,4,43,17,0,NA,1,0
1,42,3,2,1,4.8,7,9,102,20,0,NA,1,0
0,43,2,2,0,8.6,15,4,58,17,0,NA,1,0
0,38,1,1,0,1.7,4,2,28,12,0,NA,1,0
1,37,2,4,1,10.3,1,3,34,7,0,NA,1,0
0,35,2,1,0,4.3,4,4,40,20,0,NA,1,0
0,31,1,1,0,6.1,4,3,47,10,0,NA,1,0
1,41,3,5,0,3.2,1,4,25,10,0,NA,1,0
0,59,3,4,1,7.6,5,6,83,20,0,NA,1,0
0,28,3,4,1,6.8,12,2,130,17,0,NA,1,0
0,32,3,2,1,6.5,3,4,35,7,0,NA,1,0
0,36,3,3,1,9.4,19,4,30,5,1,89,1,0
0,27,3,1,0,4.2,3,2,98,17,0,NA,1,0
0,44,3,3,1,6,5,5,213,33,0,NA,1,0
1,43,2,5,1,3.2,7,4,133,17,0,NA,1,0
0,47,2,3,0,7.4,9,3,30,12,0,NA,1,0
0,30,1,2,0,4.2,12,4,42,10,1,57,1,0
1,56,1,3,0,1.7,17,2,65,20,0,NA,1,0
0,45,3,1,1,9.2,2,3,49,12,0,NA,1,0
1,26,1,2,0,1.2,3,2,21,10,0,NA,1,0
